Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2002-05-23,1.16,1.24,1.15,1.2,104790000,0,0.0
2002-05-24,1.21,1.23,1.2,1.21,11104800,0,0.0
2002-05-28,1.21,1.23,1.16,1.16,6609400,0,0.0
2002-05-29,1.16,1.16,1.09,1.1,6757800,0,0.0
2002-05-30,1.11,1.11,1.07,1.07,10154200,0,0.0
2002-05-31,1.08,1.08,1.07,1.08,8464400,0,0.0
2002-06-03,1.08,1.15,1.08,1.13,3151400,0,0.0
2002-06-04,1.14,1.14,1.11,1.12,3105200,0,0.0
2002-06-05,1.11,1.16,1.11,1.15,1531600,0,0.0
2002-06-06,1.15,1.23,1.15,1.18,2305800,0,0.0
2002-06-07,1.18,1.18,1.1,1.12,1369200,0,0.0
2002-06-10,1.13,1.17,1.13,1.16,484400,0,0.0
2002-06-11,1.16,1.19,1.13,1.15,1003800,0,0.0
2002-06-12,1.15,1.18,1.09,1.09,1799000,0,0.0
2002-06-13,1.1,1.12,1.08,1.08,2567600,0,0.0
2002-06-14,1.08,1.09,0.98,0.99,4783800,0,0.0
2002-06-17,1.01,1.06,0.92,0.92,4855200,0,0.0
2002-06-18,0.94,0.94,0.84,0.91,10808000,0,0.0
2002-06-19,0.91,1.0,0.89,0.95,5482400,0,0.0
2002-06-20,0.97,1.04,0.95,0.96,6111000,0,0.0
2002-06-21,0.98,0.99,0.95,0.98,2346400,0,0.0
2002-06-24,0.98,1.01,0.96,0.98,2567600,0,0.0
2002-06-25,0.99,1.01,0.95,0.96,3941000,0,0.0
2002-06-26,0.96,1.0,0.92,0.99,2924600,0,0.0
2002-06-27,1.01,1.02,0.94,0.94,3817800,0,0.0
2002-06-28,0.96,1.01,0.96,1.0,9234400,0,0.0
2002-07-01,1.0,1.05,0.99,1.03,4585000,0,0.0
2002-07-02,1.05,1.2,1.04,1.17,9020200,0,0.0
2002-07-03,1.18,1.21,1.12,1.21,4957400,0,0.0
2002-07-05,1.21,1.3,1.21,1.28,2003400,0,0.0
2002-07-08,1.25,1.25,1.17,1.18,1953000,0,0.0
2002-07-09,1.17,1.2,1.11,1.16,2935800,0,0.0
2002-07-10,1.16,1.18,1.13,1.16,1554000,0,0.0
2002-07-11,1.15,1.28,1.13,1.27,2529800,0,0.0
2002-07-12,1.28,1.28,1.21,1.21,2837800,0,0.0
2002-07-15,1.24,1.25,1.08,1.14,4239200,0,0.0
2002-07-16,1.15,1.16,1.1,1.13,1941800,0,0.0
2002-07-17,1.14,1.16,1.08,1.09,1261400,0,0.0
2002-07-18,1.12,1.17,1.11,1.15,2899400,0,0.0
2002-07-19,1.15,1.16,1.12,1.16,1792000,0,0.0
2002-07-22,1.14,1.18,1.12,1.17,1993600,0,0.0
2002-07-23,1.18,1.21,1.13,1.15,1577800,0,0.0
2002-07-24,1.15,1.16,1.07,1.11,3355800,0,0.0
2002-07-25,1.12,1.13,1.03,1.04,4755800,0,0.0
2002-07-26,1.05,1.06,0.85,0.87,7046200,0,0.0
2002-07-29,0.9,0.92,0.85,0.88,3260600,0,0.0
2002-07-30,0.89,0.94,0.89,0.91,3777200,0,0.0
2002-07-31,0.93,0.96,0.91,0.95,3333400,0,0.0
2002-08-01,0.95,0.96,0.88,0.89,4529000,0,0.0
2002-08-02,0.89,0.89,0.71,0.78,6655600,0,0.0
2002-08-05,0.78,0.81,0.76,0.77,3808000,0,0.0
2002-08-06,0.8,0.8,0.74,0.76,3217200,0,0.0
2002-08-07,0.76,0.79,0.74,0.79,2758000,0,0.0
2002-08-08,0.8,0.8,0.75,0.8,2283400,0,0.0
2002-08-09,0.8,0.82,0.78,0.79,1500800,0,0.0
2002-08-12,0.8,0.81,0.75,0.76,2130800,0,0.0
2002-08-13,0.77,0.81,0.75,0.77,1677200,0,0.0
2002-08-14,0.78,0.83,0.77,0.83,4047400,0,0.0
2002-08-15,0.84,0.91,0.83,0.88,3263400,0,0.0
2002-08-16,0.89,0.92,0.86,0.91,1828400,0,0.0
2002-08-19,0.93,0.98,0.92,0.98,2074800,0,0.0
2002-08-20,0.99,0.99,0.92,0.95,2539600,0,0.0
2002-08-21,0.95,0.97,0.92,0.97,2779000,0,0.0
2002-08-22,0.97,1.0,0.93,0.98,2963800,0,0.0
2002-08-23,0.99,1.0,0.97,0.99,2406600,0,0.0
2002-08-26,1.0,1.0,0.94,0.97,2644600,0,0.0
2002-08-27,0.97,0.97,0.86,0.87,4984000,0,0.0
2002-08-28,0.86,0.89,0.82,0.86,2275000,0,0.0
2002-08-29,0.83,0.92,0.82,0.9,2395400,0,0.0
2002-08-30,0.91,0.96,0.89,0.94,2121000,0,0.0
2002-09-03,0.94,0.96,0.91,0.93,1593200,0,0.0
2002-09-04,0.93,0.95,0.91,0.93,373800,0,0.0
2002-09-05,0.92,0.94,0.91,0.92,285600,0,0.0
2002-09-06,0.93,0.94,0.91,0.91,763000,0,0.0
2002-09-09,0.92,0.93,0.89,0.9,1419600,0,0.0
2002-09-10,0.9,0.95,0.89,0.94,4746000,0,0.0
2002-09-11,0.94,0.98,0.94,0.96,1629600,0,0.0
2002-09-12,0.96,0.97,0.91,0.93,1943200,0,0.0
2002-09-13,0.92,0.93,0.86,0.88,2485000,0,0.0
2002-09-16,0.89,0.89,0.85,0.86,3512600,0,0.0
2002-09-17,0.86,0.86,0.82,0.83,2863000,0,0.0
2002-09-18,0.84,0.84,0.79,0.79,1521800,0,0.0
2002-09-19,0.79,0.79,0.72,0.72,4978400,0,0.0
2002-09-20,0.75,0.77,0.7,0.71,3484600,0,0.0
2002-09-23,0.71,0.73,0.71,0.71,4839800,0,0.0
2002-09-24,0.71,0.73,0.69,0.72,3747800,0,0.0
2002-09-25,0.72,0.75,0.71,0.73,1457400,0,0.0
2002-09-26,0.75,0.78,0.73,0.78,4162200,0,0.0
2002-09-27,0.78,0.78,0.71,0.72,5105800,0,0.0
2002-09-30,0.71,0.72,0.69,0.69,4837000,0,0.0
2002-10-01,0.71,0.71,0.66,0.68,3850000,0,0.0
2002-10-02,0.69,0.69,0.56,0.58,9314200,0,0.0
2002-10-03,0.57,0.57,0.49,0.52,9765000,0,0.0
2002-10-04,0.52,0.53,0.45,0.47,8433600,0,0.0
2002-10-07,0.45,0.46,0.38,0.41,15724800,0,0.0
2002-10-08,0.41,0.43,0.39,0.41,4531800,0,0.0
2002-10-09,0.41,0.41,0.35,0.37,5982200,0,0.0
2002-10-10,0.38,0.52,0.35,0.51,13577200,0,0.0
2002-10-11,0.51,0.53,0.45,0.47,13281800,0,0.0
2002-10-14,0.46,0.54,0.46,0.53,5272400,0,0.0
2002-10-15,0.54,0.59,0.54,0.55,4125800,0,0.0
2002-10-16,0.53,0.53,0.44,0.46,5800200,0,0.0
2002-10-17,0.47,0.59,0.47,0.55,7481600,0,0.0
2002-10-18,0.59,0.74,0.59,0.68,24904600,0,0.0
2002-10-21,0.64,0.66,0.61,0.64,9686600,0,0.0
2002-10-22,0.64,0.64,0.62,0.62,4263000,0,0.0
2002-10-23,0.62,0.62,0.59,0.59,3539200,0,0.0
2002-10-24,0.61,0.61,0.55,0.58,2431800,0,0.0
2002-10-25,0.58,0.69,0.57,0.64,6447000,0,0.0
2002-10-28,0.66,0.71,0.65,0.69,5647600,0,0.0
2002-10-29,0.68,0.68,0.63,0.66,2004800,0,0.0
2002-10-30,0.66,0.67,0.64,0.64,1423800,0,0.0
2002-10-31,0.64,0.64,0.62,0.64,1659000,0,0.0
2002-11-01,0.63,0.64,0.61,0.64,2126600,0,0.0
2002-11-04,0.64,0.7,0.64,0.67,3589600,0,0.0
2002-11-05,0.67,0.68,0.65,0.65,1045800,0,0.0
2002-11-06,0.66,0.66,0.61,0.63,7032200,0,0.0
2002-11-07,0.63,0.64,0.59,0.59,2585800,0,0.0
2002-11-08,0.61,0.61,0.55,0.61,4922400,0,0.0
2002-11-11,0.61,0.61,0.59,0.6,371000,0,0.0
2002-11-12,0.6,0.61,0.57,0.58,2191000,0,0.0
2002-11-13,0.58,0.64,0.56,0.64,3231200,0,0.0
2002-11-14,0.64,0.64,0.62,0.62,931000,0,0.0
2002-11-15,0.64,0.65,0.59,0.65,2045400,0,0.0
2002-11-18,0.65,0.78,0.62,0.78,10061800,0,0.0
2002-11-19,0.72,0.72,0.62,0.66,28194600,0,0.0
